PlotID,Genotype,Row,Column,Device_ID,Day,hour,ECS_.mAU,ECS_tau,gH.,vH.,Phi2,PhiNPQ,PhiNO,qL,NPQt,FvP_over_FmP,PS1_Active.Centers,PS1_Open.Centers,PS1_Over.Reduced.Centers,PS1_Oxidized.Centers,Light_Intensity,Ambient_Temperature,Ambient_Humidity,Leaf_Temperature,Leaf_Temperature_Differential,Relative_Chlorophyll,LEF
1053,MS116,2,25,41:00:08:7f,7/23/20,15:28:36,0.00023,0.0042,240.232,0.055,0.468,0.382,0.15,0.641,2.554,0.579,3.739,0.619,0.21,0.171,536.286,34.94,51.525,30.37,-4.57,56.29,112.9418316
1053,MS116,2,25,52:00:12:9a,7/28/20,13:56:30,0.00065,0.0045,223.127,0.145,0.379,0.463,0.158,0.491,2.929,0.554,2.65,1.185,-0.27,0.084,1207.352,32.69,48.818,26.19,-6.5,63.09,205.9138836
1054,DKMBZA,2,26,52:00:12:9a,7/28/20,13:58:12,0.00137,0.0087,114.866,0.157,0.365,0.457,0.177,0.423,2.582,0.577,4.936,0.469,0.184,0.347,1757.558,32.76,48.944,26.01,-6.75,76.04,288.6789015
1054,DKMBZA,2,26,41:00:12:f5,7/24/20,15:07:46,0.00082,0.0065,155.01,0.127,0.357,0.3,0.342,0.214,0.878,0.722,-3.02,-0.295,2.376,-1.081,953.662,35.15,50.892,31.73,-3.42,73.27,153.2058003
1054,DKMBZA,2,26,41:00:08:7f,7/23/20,15:29:13,0.00045,0.0043,233.242,0.105,0.407,0.457,0.136,0.616,3.372,0.527,3.103,0.647,0.143,0.209,877.823,35.03,51.683,30.75,-4.28,75.78,160.7732825
1055,N501,2,27,52:00:12:9a,7/28/20,13:58:54,0.00112,0.0064,155.511,0.174,0.316,0.511,0.173,0.373,2.947,0.553,4.809,0.493,0.164,0.344,1930.526,32.78,49.453,29.65,-3.13,68.95,274.5207972
1055,N501,2,27,41:00:08:7f,7/23/20,15:30:17,0.00053,0.0053,189.585,0.1,0.407,0.453,0.14,0.595,3.232,0.536,2.999,0.499,0.259,0.242,780.446,35.15,50.888,30.37,-4.78,72.07,142.9386849
1055,N501,2,27,41:00:12:f5,7/24/20,15:08:17,0.0006,0.0057,174.5,0.105,0.436,0.381,0.183,0.488,2.084,0.613,4.007,0.565,-0.049,0.485,1108.423,35.17,50.979,30.97,-4.2,80.15,217.4725926
1056,Pa392,2,28,41:00:08:7f,7/23/20,15:30:57,0.00027,0.0038,264.026,0.071,0.539,0.298,0.163,0.677,1.827,0.633,4.177,0.989,0.064,-0.053,480.948,35.23,51.273,30.01,-5.22,76.65,116.6539374
1056,Pa392,2,28,41:00:12:f5,7/24/20,15:08:47,0.00059,0.0045,219.972,0.13,0.459,0.352,0.189,0.499,1.868,0.63,7.142,0.247,0.527,0.227,1163.39,35.18,50.354,29.61,-5.57,66.67,240.2982045
1056,Pa392,2,28,52:00:12:9a,7/28/20,13:59:45,0.00227,0.0115,86.995,0.197,0.292,0.357,0.351,0.17,1.019,0.707,5.399,0.359,0.144,0.497,1616.614,32.78,48.806,29.79,-2.99,74.2,212.4230796
1057,K150,3,1,41:00:08:7f,7/23/20,15:32:30,0.00038,0.0042,239.245,0.091,0.419,0.427,0.154,0.557,2.77,0.564,3.406,0.664,0.232,0.104,730.208,35.14,51.821,31.33,-3.81,73.22,137.6807184
1057,K150,3,1,41:00:12:f5,7/24/20,15:10:12,0.00184,0.0122,82.047,0.151,0.357,0.383,0.26,0.281,1.47,0.664,4.409,0.511,0.125,0.363,1424.506,35.21,50.49,30.19,-5.02,77.65,228.8468889
1057,K150,3,1,52:00:12:9a,7/28/20,14:01:29,0.00038,0.0061,164.089,0.062,0.466,0.308,0.226,0.423,1.364,0.674,4.997,0.472,0.426,0.102,504.505,32.67,49.089,26.89,-5.78,73.44,105.7946985
1058,I29,3,2,41:00:12:f5,7/24/20,15:10:43,0.00182,0.0078,128.991,0.235,0.356,0.424,0.22,0.332,1.927,0.625,4.589,0.504,0.175,0.322,1313.7,35.22,50.816,31.01,-4.21,77.36,210.45474
1058,I29,3,2,52:00:12:9a,7/28/20,14:02:01,0.00129,0.0057,175.842,0.227,0.352,0.501,0.146,0.493,3.422,0.525,4.676,0.416,0.249,0.335,1810.11,32.69,49.666,28.81,-3.88,72.13,286.721424
1058,I29,3,2,41:00:08:7f,7/23/20,15:33:09,0.00058,0.0048,209.692,0.122,0.485,0.37,0.144,0.69,2.567,0.578,1.516,0.566,-0.368,0.802,557.509,35.18,52.146,31.19,-3.99,64.72,121.6763393
1059,A635,3,3,52:00:12:9a,7/28/20,14:02:32,0.00097,0.0056,179.433,0.174,0.32,0.544,0.136,0.483,4.006,0.494,5.114,0.466,0.259,0.275,1714.781,32.73,49.353,29.75,-2.98,69.42,246.928464
1059,A635,3,3,41:00:12:f5,7/24/20,15:11:11,0.00035,0.0219,45.656,0.016,0.615,0.193,0.192,0.655,1.005,0.709,5.556,0.541,0.518,-0.058,201.375,35.25,50.53,30.15,-5.1,77.82,55.73053125
1059,A635,3,3,41:00:08:7f,7/23/20,15:33:43,0.00063,0.0045,223.196,0.141,0.42,0.448,0.132,0.651,3.389,0.526,3.603,0.482,0.358,0.161,926.742,35.21,52.684,31.33,-3.88,74.16,175.154238
1060,W182E,3,4,41:00:08:7f,7/23/20,15:34:16,0.00053,0.0057,176.208,0.093,0.516,0.359,0.125,0.842,2.86,0.558,-2.492,-0.9,2.29,-0.39,541.327,35.22,53.073,29.61,-5.61,49.73,125.6961294
1060,W182E,3,4,52:00:12:9a,7/28/20,14:03:05,0.00154,0.0091,109.791,0.169,0.265,0.518,0.218,0.249,2.38,0.591,4.806,0.333,0.164,0.502,1875.714,32.78,49.606,28.53,-4.25,53.09,223.6788945
1060,W182E,3,4,41:00:12:f5,7/24/20,15:11:40,0.00094,0.0058,171.123,0.161,0.364,0.52,0.116,0.642,4.472,0.471,2.881,0.521,-0.16,0.639,1174.764,35.28,51.088,32.71,-2.57,47.26,192.4263432
1061,N192,3,5,41:00:12:f5,7/24/20,15:12:25,0.00047,0.0049,204.421,0.096,0.478,0.34,0.182,0.539,1.874,0.629,8.137,0.081,0.336,0.583,745.686,35.38,52.208,32.25,-3.13,75.18,160.3970586
1061,N192,3,5,41:00:08:7f,7/23/20,15:34:46,0.0007,0.0054,186.021,0.13,0.392,0.464,0.143,0.561,3.235,0.535,3.696,0.596,0.092,0.312,1001.318,35.25,53.019,30.75,-4.5,74.22,176.6324952
1061,N192,3,5,52:00:12:9a,7/28/20,14:03:40,0.00125,0.0064,156.598,0.196,0.341,0.491,0.168,0.416,2.924,0.554,4.255,0.368,0.169,0.463,1899.617,32.85,49.484,30.43,-2.42,62.36,291.4962287
1062,DK8M116,3,6,41:00:12:f5,7/24/20,15:13:02,0.00131,0.006,167.632,0.22,0.382,0.344,0.275,0.285,1.253,0.684,1.031,2.609,-2.711,1.102,1201.203,35.47,50.519,30.37,-5.1,62.05,206.4867957
1062,DK8M116,3,6,52:00:12:9a,7/28/20,14:04:21,0.0015,0.008,124.829,0.187,0.307,0.288,0.405,0.156,0.712,0.74,0.795,6.09,-7.88,2.79,1553.013,32.92,48.726,29.23,-3.69,57.78,214.548746
1062,DK8M116,3,6,41:00:08:7f,7/23/20,15:35:21,0.00049,0.005,201.455,0.099,0.428,0.435,0.136,0.644,3.192,0.538,2.795,0.723,0.439,-0.162,982.407,35.3,52.272,30.75,-4.55,63.54,189.2115882
1063,T232,3,7,52:00:12:9a,7/28/20,14:05:04,0.00131,0.0081,123.934,0.162,0.32,0.49,0.19,0.345,2.579,0.577,4.509,0.415,0.167,0.417,1727.948,32.99,48.392,27.89,-5.1,59.86,248.824512
1063,T232,3,7,41:00:12:f5,7/24/20,15:13:37,0.00138,0.0078,127.792,0.176,0.373,0.4,0.227,0.337,1.763,0.638,3.707,0.544,0.101,0.355,1049.582,35.51,48.652,30.33,-5.18,70.14,176.1723387
1063,T232,3,7,41:00:08:7f,7/23/20,15:35:53,0.00064,0.0048,208.79,0.134,0.38,0.49,0.131,0.596,3.75,0.507,4.44,0.385,0.262,0.353,1038.309,35.34,51.205,30.57,-4.77,71.89,177.550839
1064,L_139,3,8,41:00:08:7f,7/23/20,15:36:23,0.00041,0.0042,238.071,0.098,0.437,0.407,0.156,0.574,2.615,0.574,-0.522,-4.686,6.435,-0.748,475.792,35.36,51.436,30.01,-5.35,73.56,93.5644968
1064,L_139,3,8,52:00:12:9a,7/28/20,14:05:41,0.00115,0.0058,171.515,0.197,0.344,0.481,0.174,0.405,2.762,0.565,4.121,0.351,0.261,0.388,1805.408,33.06,49.118,29.47,-3.59,66.25,279.4771584
1064,L_139,3,8,41:00:12:f5,7/24/20,15:14:13,0.00044,0.004,251.973,0.111,0.405,0.424,0.171,0.486,2.482,0.584,5.472,0.347,0.496,0.158,1116.604,35.54,49.019,28.89,-6.65,75.08,203.501079
1065,B97,3,9,41:00:08:7f,7/23/20,15:36:54,0.00058,0.004,249.433,0.145,0.368,0.506,0.126,0.597,4.014,0.493,4.972,0.463,0.312,0.225,949.615,35.4,51.932,31.63,-3.77,80.97,157.256244
1065,B97,3,9,41:00:12:f5,7/24/20,15:14:45,0.00155,0.0099,100.628,0.156,0.378,0.346,0.276,0.28,1.251,0.684,4.13,0.603,0.104,0.293,992.709,35.57,49.865,29.87,-5.7,78.99,168.8598009
1065,B97,3,9,52:00:12:9a,7/28/20,14:06:14,0.00027,0.004,252.173,0.068,0.533,0.275,0.192,0.57,1.437,0.667,4.736,0.704,0.298,-0.002,832.832,33.14,49.079,28.97,-4.17,71.25,199.7547552
1066,DE2,3,10,41:00:12:f5,7/24/20,15:15:18,0.00046,0.0059,168.333,0.077,0.606,0.166,0.228,0.545,0.727,0.739,4.524,0.675,0.299,0.025,267.794,35.61,50.617,30.79,-4.82,77.37,73.0274238
1066,DE2,3,10,41:00:08:7f,7/23/20,15:37:30,0.00052,0.0041,245.082,0.127,0.479,0.351,0.17,0.577,2.067,0.614,3.548,0.783,0.202,0.015,639.415,35.47,50.251,29.69,-5.78,69.85,137.8259033
1066,DE2,3,10,52:00:12:9a,7/28/20,14:06:47,0.00195,0.0092,108.509,0.212,0.287,0.366,0.347,0.17,1.056,0.704,4.939,0.415,0.224,0.361,1793.963,33.22,49.701,29.97,-3.25,70.64,231.6903215
1067,B97,3,11,52:00:12:9a,7/28/20,14:07:19,0.00145,0.0077,129.576,0.188,0.272,0.605,0.123,0.454,4.913,0.452,4.864,0.488,0.072,0.441,2028.994,33.27,47.737,29.55,-3.72,69.29,248.3488656
1067,B97,3,11,41:00:12:f5,7/24/20,15:15:54,0.00169,0.0089,112.35,0.19,0.344,0.394,0.261,0.27,1.508,0.661,5.441,0.397,0.267,0.335,1371.119,35.66,51.165,31.11,-4.55,79.2,212.2492212
1067,B97,3,11,41:00:08:7f,7/23/20,15:38:03,0.00055,0.0052,191.331,0.105,0.381,0.481,0.138,0.566,3.495,0.521,3.362,0.84,0.043,0.118,859.289,35.51,50.837,29.65,-5.86,78.62,147.3250991
1068,S_56,3,12,52:00:12:9a,7/28/20,14:07:57,0.00141,0.0092,108.304,0.153,0.346,0.363,0.292,0.243,1.242,0.685,5.821,0.356,0.406,0.238,1242.96,33.37,49.127,28.81,-4.56,74.29,193.528872
1068,S_56,3,12,41:00:08:7f,7/23/20,15:38:34,0.00196,0.0113,88.431,0.173,0.286,0.508,0.206,0.284,2.469,0.585,3.625,0.579,0.096,0.324,1226.699,35.54,49.677,30.87,-4.67,74.98,157.8761613
1068,S_56,3,12,41:00:12:f5,7/24/20,15:16:28,0.00174,0.0096,104.033,0.181,0.293,0.416,0.291,0.206,1.431,0.667,3.811,0.899,0.205,-0.104,1143.51,35.7,50.266,31.55,-4.15,81.26,150.7717935
1069,CI_91B,3,13,41:00:08:7f,7/23/20,15:39:12,0.00057,0.0045,222.25,0.127,0.357,0.513,0.13,0.565,3.961,0.496,3.39,0.66,0.047,0.293,1002.686,35.59,49.808,31.11,-4.48,72.85,161.0815059
1069,CI_91B,3,13,41:00:12:f5,7/24/20,15:17:05,0.00143,0.0114,87.674,0.125,0.341,0.353,0.306,0.228,1.153,0.694,4.961,0.487,0.303,0.21,1044.728,35.76,51.02,30.93,-4.83,74.74,160.3135116
1069,CI_91B,3,13,52:00:12:9a,7/28/20,14:08:29,0.00114,0.0077,129.86,0.148,0.315,0.484,0.201,0.322,2.408,0.589,5.542,0.447,0.195,0.358,1831.696,33.46,49.243,29.69,-3.77,69.89,259.642908
1070,911,3,14,41:00:08:7f,7/23/20,15:39:44,0.00133,0.0065,154.105,0.205,0.363,0.477,0.16,0.465,2.98,0.551,3.836,0.591,-0.047,0.456,1179.88,35.62,49.936,30.79,-4.83,78.24,192.733398
1070,911,3,14,41:00:12:f5,7/24/20,15:17:37,0.00101,0.0051,196.68,0.199,0.345,0.519,0.136,0.519,3.814,0.503,3.558,1.387,-0.049,-0.337,1402.816,35.81,49.674,32.41,-3.4,72.36,217.787184
1070,911,3,14,52:00:12:9a,7/28/20,14:09:04,0.00102,0.0059,169.704,0.173,0.332,0.448,0.22,0.31,2.04,0.616,5.879,0.383,0.336,0.281,1838.917,33.58,49.728,29.01,-4.57,73.42,274.7341998
1071,CI_64,3,15,41:00:12:f5,7/24/20,15:18:09,0.0003,0.0046,218.745,0.066,0.51,0.27,0.22,0.475,1.227,0.687,0.847,3.081,-3.373,1.291,862.837,35.85,48.339,30.65,-5.2,72.38,198.0210915
1071,CI_64,3,15,52:00:12:9a,7/28/20,14:09:37,0.00112,0.0052,192.959,0.216,0.34,0.493,0.168,0.415,2.942,0.553,4.232,0.425,0.15,0.425,1864.988,33.65,45.947,30.11,-3.54,65.9,285.343164
1071,CI_64,3,15,41:00:08:7f,7/23/20,15:40:16,0.00038,0.004,251.678,0.096,0.469,0.386,0.145,0.662,2.654,0.572,2.573,0.584,0.234,0.182,812.444,35.63,49.96,30.97,-4.66,63.36,171.4663062
1072,EP1,3,16,52:00:12:9a,7/28/20,14:10:11,0.00124,0.0057,176.103,0.218,0.407,0.43,0.164,0.509,2.627,0.574,3.209,0.419,0.178,0.403,1459.116,33.66,47.283,29.33,-4.33,59.5,267.2370954
1072,EP1,3,16,41:00:12:f5,7/24/20,15:19:35,0.00071,0.0046,215.575,0.153,0.424,0.393,0.183,0.475,2.144,0.608,1.382,1.057,-0.599,0.542,950.622,35.94,48.142,32.45,-3.49,73.13,181.3786776
1072,EP1,3,16,41:00:08:7f,7/23/20,15:40:47,0.00073,0.0046,218.861,0.16,0.348,0.493,0.158,0.451,3.118,0.542,2.529,-0.066,0.43,0.636,1141.887,35.64,49.094,29.69,-5.95,78.49,178.8195042
1073,A344,3,17,41:00:08:7f,7/23/20,15:41:18,0.00085,0.005,201.021,0.171,0.359,0.513,0.128,0.576,4.015,0.493,8.413,0.356,0.61,0.034,1046.179,35.65,49.929,30.43,-5.22,74.72,169.0102175
1073,A344,3,17,52:00:12:9a,7/28/20,14:10:42,0.00188,0.0117,85.794,0.161,0.283,0.38,0.337,0.172,1.128,0.696,5.054,0.331,0.227,0.442,1589.514,33.72,46.993,27.07,-6.65,74.62,202.4246079
1073,A344,3,17,41:00:12:f5,7/24/20,15:20:10,0.00127,0.0075,132.576,0.168,0.353,0.457,0.191,0.378,2.392,0.59,4.818,0.67,0.361,-0.031,1265.433,35.99,49.03,31.43,-4.56,69.37,201.0140321
1074,B106,3,18,41:00:12:f5,7/24/20,15:20:41,0.0008,0.0059,170.593,0.136,0.406,0.434,0.16,0.521,2.72,0.567,3.326,0.572,0.048,0.38,1021.768,36.04,49.216,32.19,-3.85,65.56,186.6770136
1074,B106,3,18,41:00:08:7f,7/23/20,15:41:52,0.00042,0.0058,172.04,0.072,0.516,0.311,0.173,0.61,1.792,0.636,2.584,1.32,-0.318,-0.002,501.684,35.71,50.665,29.47,-6.24,62.03,116.4910248
1074,B106,3,18,52:00:12:9a,7/28/20,14:11:15,0.00133,0.0073,136.39,0.181,0.346,0.498,0.156,0.454,3.196,0.538,4.954,0.454,0.159,0.387,1639.274,33.78,47.625,29.43,-4.35,67.03,255.2349618
1075,B97,3,19,41:00:12:f5,7/24/20,15:21:19,0.00131,0.0071,140.73,0.184,0.391,0.439,0.17,0.471,2.578,0.577,4.306,0.551,0.063,0.385,1238.342,36.1,49.018,30.15,-5.95,77.51,217.8862749
1075,B97,3,19,52:00:12:9a,7/28/20,14:11:54,0.0014,0.0113,88.244,0.124,0.395,0.315,0.29,0.279,1.086,0.701,6.132,0.548,0.303,0.15,708.392,33.86,47.149,28.81,-5.05,78.23,125.916678
