ID,SampleWeight,phosphoricacid,glycericacid,Lserine,Lalanine,Lthreonine,Betaalanine,Dmalicacid,asparticacid,Lglutamicacid,transaconiticacid,glycerol1phosphate,shikimicacid,citricacid,quinicacid,fructose,Dglucose,tyrosine,galactonicacid,mucicacid,myoinositol,caffeicacid,Dglucose6phosphate,Sucrose,loganin,chlorogenicacid,Raffinose
PHHB4,26.5,0.67679973,0.011431198,0.004227559,0.001747493,0.00306111,0.001914284,0.10096868,0.10599095,0.016335733,0.218145697,1.47E-03,0.013453406,0.02501215,0.038279141,0.057647641,0.40989009,0.005821342,NA,0.011652496,0.11765325,0.007194918,0.006838442,0.11540694,0.004195945,0.022145084,7.75E-04
PHHB9,22,0.04777227,0.007230478,0.002956625,0.003501732,0.00079523,0.000235171,0.01952732,0.02138694,6.80E-04,0.2655368,0.002505315,0.015513107,0.018246796,0.12881778,0.32871148,0.71152717,0.003962558,0.001812038,0.006333295,0.21459662,1.39E-02,0.002873704,0.06778465,0.001368884,0.018079594,0.000755809
PHJ90,25,0.05156909,0.003911649,0.005153513,0.010823853,0.001848767,0.000565557,0.02887887,0.05171823,NA,0.2881072,0.004704611,0.017036125,0.013824408,0.07357267,0.21010088,0.34031642,0.00441371,0.001123732,0.007173572,0.39060377,6.18E-03,0.002542793,1.42345059,0.000444472,0.028787315,0.004942352
PHN18,32,0.04977649,0.010149962,0.025407543,0.009546734,0.008025551,0.006851151,0.12793381,0.266941373,0.016380401,0.52678461,1.68E-03,0.037776042,0.018292079,0.096318271,0.213982643,0.29466362,0.010068366,0.001809683,5.66E-03,0.19161368,0.003211386,0.003228871,5.37645681,0.008346107,0.03077627,3.85E-03
PHN41,24.1,0.09451347,0.007921382,0.000397379,0.00179105,0.000724163,0.000603469,0.03442733,0.07059333,0.019391845,0.175646627,3.96E-03,0.007628757,0.009134013,0.042779108,0.041162267,0.12896812,0.005372011,NA,0.005144287,0.56699312,0.005144287,0.006913703,0.12103087,0.002807838,0.020602198,1.06E-03
PHR61,24.6,0.1828233,0.014570328,0.001186531,0.003999214,0.001042981,0.003245576,0.11740598,0.52364919,0.02281324,0.215854397,7.60E-03,0.016307507,0.008829448,0.023151928,0.308617981,0.81324568,0.011798018,0.002070261,0.004583508,0.34093132,0.003242212,0.003394734,0.86471048,0.000420557,0.019215517,2.95E-03
PHRE1,21.1,0.201440979,0.012817827,0.02165,0.0216,0.00578,0.007126667,0.08865,0.04413,0.02875,0.225262651,0.005496459,0.0136,0.01435,0.05025,0.253,0.1721,0.00466,0.003295,0.003029554,0.3469296,0.003109563,0.005675,0.443126201,0.00543,0.015955,0.029520562
PHT73,29.3,0.102191438,0.006559041,1.07E-02,1.07E-02,2.39E-03,0.001934266,8.83E-02,3.46E-02,3.71E-02,0.14229108,0.014318237,8.41E-03,2.10E-02,2.35E-02,3.74E-02,4.82E-02,5.36E-03,3.41E-03,0.003447985,0.585672958,0.00213962,2.16E-03,0.964593947,6.13E-02,3.67E-02,0.013136528
PHTD5,20.2,0.219882169,0.008035624,4.33E-03,0.000736726,0.000922806,1.27E-04,0.067681905,0.029550666,4.41E-03,0.15652979,1.10E-03,0.012718008,0.009767309,0.04863907,0.008656524,0.018953592,0.001648138,0.001255092,0.006837496,0.09015013,7.16E-04,0.002158909,0.16950439,6.27E-03,3.23E-03,0.000410136
PHTE4,28.5,0.080958472,0.010449743,5.07E-03,0.005116744,0.001226088,9.06E-04,0.015570348,0.026711334,9.85E-04,0.2182147,6.58E-03,0.027587938,0.00934916,0.30923283,0.07559458,1.13063047,0.00378446,0.002133586,0.005952801,0.1001144,1.62E-02,0.003195551,0.07049153,1.42E-02,4.27E-03,0.001083205
PHV07,22,0.01585572,0.004091368,0.008671986,0.000361239,0.001102449,0.000999428,0.01806597,0.07602212,0.008707203,0.09436173,1.32E-03,0.008198792,0.011959693,0.031351548,0.738744857,0.31250803,0.002004209,0.000984711,2.26E-03,0.11490885,0.001973436,0.001525232,0.07133995,0.009109917,0.047529713,7.52E-03
